F,F',R,R',B,B',L,L',U,U',D,D'
0.13914715,0.6144007213948971,0.9,0.5360003897125001,0.7007841994064486,0.6520670677416432,0.5498184772343473,0.35318913315,0.6581851924906936,0.6329489777834473,0.6795122926171876,0.67790865840625
0.6837589184150026,0.6654066806749281,0.6620422558271655,0.6397972617822487,0.6446418186790589,0.9,0.6374404198853045,0.7278042957795723,0.7001827632837907,0.4193670469695862,0.7003563837923188,0.701802251878011
0.5347989845500001,0.6413303536250001,0.7052543063679362,0.4988736879906515,0.9,0.6084246076315327,0.7025949029510792,0.6765404731186351,0.6895516665646,0.7172644711544993,0.675673213109375,0.7170269668289109
0.6934296905472267,0.7147949809376869,0.6145702070250001,0.5874305424228761,0.191709818,0.677442671355034,0.6409403619402928,0.9,0.184980039,0.5184936413500001,0.5365592316292724,0.7255386200047137
0.5691790434977182,0.6953130472609459,0.6492925609296876,0.6984522972288627,0.6920351881601645,0.44828972826671165,0.9,0.6880583936280449,0.7206275446597985,0.135660566,0.471922496925,0.6848167857689453
0.6118953439519416,0.5649476034401675,0.7188201730985408,0.6328188159492794,0.4028607477875,0.6554391502232124,0.6659031478635551,0.063595472,0.9,0.2477740576,0.30434172225,0.310418452
0.3897093620776141,0.7067857484039587,0.5745307472208254,0.6841017443644237,0.713307719457891,0.7111470785373184,0.029240919,0.6390839594501999,0.9,0.6152963153550595,0.43343936,0.7075220105269453
0.7077956045427227,0.9,0.7042468479363094,0.45313828438163,0.568674498347299,0.6517497277808084,0.6372859536182934,0.5374539430421658,0.6762041991977108,0.45534006238336,0.5221097426,0.6441845661764003
0.9,0.193533764,0.5630388657432545,0.4459802024044301,0.7199504776600525,0.6752196246692576,0.091696592,0.4751917234999999,0.3987441398,0.34979316045,0.7092932102572951,0.36795957405
0.55690015785,0.6459671696813315,0.6551671697806196,0.9,0.6864102252082163,0.6864077621617899,0.3199409565,0.6722219661984239,0.5821164979647269,0.628244985075,0.4455162799,0.6390837930328126
0.4298161084999999,0.5225946369988279,0.9,0.6646296558600528,0.5540319479582809,0.6307880332970041,0.5511271284476819,0.5956736379787997,0.3685213656671988,0.34219137325,0.7131626615919273,0.414269783175
0.6924021376671032,0.6430649799802117,0.7086856872477822,0.6086877944062501,0.6391165574208347,0.9,0.5877322274889941,0.142369732,0.3914973209908874,0.655925132975,0.613723691675,0.3837525945334401
0.5571762020719658,0.7151536165995409,0.6912208029603091,0.080799418,0.9,0.6454234416533311,0.7190582740923335,0.5464780715375,0.6173593388167,0.630291875265728,0.6745700870593916,0.4117487831
